headline,co_headline,period
"Ibrahim Alagunmu, Ilọrin Alaga apapọ ẹgbẹ oṣelu PDP tẹlẹ nilẹ yii, Alaaji Abubakar Kawu Baraje, ti…",,
,,Ìròyìn
,,
,,"February 9, 2022"
,,
,,
Faith Adebọla Asilo agbara awọn to jẹ olori Naijiria lasiko yii ti fẹẹ tẹ ọkọ orileede…,,
,,Ìròyìn
,,
,,"February 17, 2022"
,,
,,
Faith Adebọla Agbarijọ awọn gomina ti wọn n ṣakoso lọwọ ninu ẹgbẹ oṣelu Peoples Democratic Party…,,
,,
,,
"Taofeek Surdiq, Ado-Ekiti Gomina ipinlẹ Ekiti tẹlẹ, Oloye Segun Oni, ti fi ẹgbẹ PDP silẹ, o ti…",,
,,Ìròyìn
,,
,,"February 15, 2022"
,,
"Jọkẹ Amọri Minisita fun eto idajọ nilẹ wa, Abubakar Malami, ti sọ pe ọna oṣelu ni…",,
,,Ìròyìn
,,
,,"February 7, 2022"
,,"February 11, 2022"
,,
,,
"Ibrahim Alagunmu, Ilọrin Kayeefi lọrọ naa jẹ nigba ti iroyin de si etiigbọ awọn eeyan pe akẹkọọ…",,
,,Ìròyìn
,,
,,"February 11, 2022"
,,"February 17, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Igun kan ninu ẹgbẹ oṣelu PDP nipinlẹ Ọṣun ti wọn jẹ ti Sẹnetọ…",,
,,Ìròyìn
,,Ìròyìn
,,
,,"February 9, 2022"
,,
,,
"Faith Adebọla   Bi nnkan ba lọ bo ṣe yẹ ko lọ, ko ni i pẹ…",,
,,
,,
"Florence Babaṣọla, Oṣogbo Aarẹ akọkọ fun ẹgbẹ Ọranmiyan kaakiri agbaye, Ọranmiyan Group Worldwide, Ọmọọba Felix Awofisayọ,…",,
,,Ìròyìn
,,
,,"February 15, 2022"
,,
,,
"Florence Babaṣọla, Oṣogbo Gomina Gboyega Oyetọla ti ipinlẹ Ọṣun ti ṣeleri fawọn araalu pe ti wọn…",,
,,Ìròyìn
,,
,,
,,
,,"February 17, 2022"
,,
,,
,,"February 13, 2022"
,,
,,
,,Ìròyìn
,,
,,"February 9, 2022"
,,
,,
"Faith Adebọla Gomina ipinlẹ Ondo, to tun jẹ alaga gbogbo awọn gomina iha Guusu ilẹ wa,…",,
,,Ìròyìn
,,
,,
"Florence Babaṣọla, Oṣogbo Gomina ipinlẹ Ọṣun tẹlẹ, Ọgbẹni Rauf Arẹgbẹṣọla, ti sọ pe gbogbo nnkan ti…",,
,,Feature stories
,,
,,"February 15, 2022"
,,
,,"February 6, 2022"
,,
,,
"Faith Adebọla Pẹlu ọrọ ti Ọgbẹni Pẹlumi Ọlajẹngbesi, ilu-mọ-ọn-ka lọọya to n ṣoju fun gbajugbaja ajijangbara…",,
,,Ìròyìn
,,
